Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
NCR,1st district,,"Tondo Binondo Quiapo
San Nicolas Santa Cruz Sampaloc San Miguel Ermita Intramuros Malate Paco Pandacan Port Area Santa Ana","4.1
,Mountain Province,,Barlig Bauko Besao Bontoc Natonin Paracelis Sabangan Sadanga Sagada Tadian,"20.2
13.4
19.2
15.1
59.2
43.1
11.4
55.1
11.2
23.9","27.4
34.4
26.9
16.7
37.4
46.7
26.0
39.0
35.4
36.2","4.6
2.8
4.2
5.1
9.5
5.5
3.0
8.2
2.5
3.9","8.3
7.8
7.7
4.9
9.2
10.0
8.1
10.9
9.0
7.2","33.7
28.4
29.9
41.6
25.4
17.5
36.3
23.2
29.1
23.5","30.4
22.7
28.7
29.4
24.5
21.4
31.1
27.8
25.4
20.0"
,Apayao,,"Calanasan (Bayag) Conner
Flora Kabugao Luna Pudtol
Santa Marcela","34.6
35.1
23.0
39.2
16.8
26.1
18.2","32.9
30.3
26.2
40.6
28.8
29.8
23.8","7.5
5.4
4.5
5.6
3.0
4.0
3.9","7.0
4.6
5.3
5.3
4.7
5.5
4.9","29.2
20.0
24.9
19.9
22.4
19.2
27.4","21.4
15.2
20.1
13.0
16.4
18.3
20.7"
Region I           Ilocos Norte,,,Adams,39.9,29.4,0.4,1.1,33.3,8.5
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Bacarra Badoc Bangui Batac Burgos Carasi Currimao Dingras Dumalneg Banna Laoag City Marcos Nueva Era Pagudpud Paoay Pasuquin Piddig Pinili
San Nicolas Sarrat Solsona Vintar","11.7
19.6
24.5
11.2
27.6
26.4
21.5
19.5
31.6
21.8
6.5
27.8
37.7
29.6
12.2
22.2
20.6
21.9
7.3
20.2
21.6
18.7","13.2
19.6
12.6
15.3
16.8
22.6
15.2
16.3
21.6
17.8
9.9
18.7
24.9
20.2
14.9
14.1
16.3
17.6
12.3
14.0
15.0
16.8","0.5
0.5
0.4
0.4
3.5
8.0
2.4
2.2
11.7
2.3
1.2
3.7
4.7
3.1
2.2
2.5
2.1
2.6
1.8
2.6
2.5
2.1","2.3
1.4
2.1
1.6
5.3
1.3
2.1
2.6
5.7
2.2
0.8
2.0
2.7
1.3
1.2
1.6
2.6
2.3
1.1
1.9
1.3
2.0","16.4
11.5
12.0
15.4
12.7
30.1
11.1
11.4
37.0
10.7
18.8
13.1
12.5
10.3
17.6
11.2
10.2
11.7
24.0
13.0
11.4
11.0","11.7
11.3
13.6
9.6
23.5
8.7
13.1
9.8
26.3
12.2
8.2
10.9
10.7
6.3
7.9
11.4
16.1
13.0
9.2
13.5
8.7
12.0"
,Ilocos Sur,,"Alilem Banayoyo Bantay Burgos Cabugao Candon City Caoayan Cervantes Galimuyod
Gregorio del Pilar Lidlidda Magsingal Nagbukel Narvacan
Quirino Salcedo San Emilio
San Esteban San Ildefonso San Juan San Vicente Santa
Santa Catalina Santa Cruz Santa Lucia Santa Maria Santiago
Santo Domingo Sigay
Sinait Sugpon Suyo Tagudin Vigan City","37.5
19.2
13.2
26.4
23.5
17.5
12.5
38.2
33.5
29.3
21.6
18.9
26.0
17.2
35.8
30.8
33.8
19.0
16.8
13.9
10.7
20.0
6.3
33.2
21.8
17.2
24.0
17.1
36.2
16.7
51.7
39.8
23.7
6.9","27.4
20.9
16.4
26.5
20.7
17.8
14.4
24.5
20.6
26.1
17.3
18.1
28.4
17.7
27.2
22.7
23.7
15.7
15.4
18.0
12.9
13.6
11.7
24.0
25.1
16.9
20.9
16.4
27.2
18.7
35.4
24.4
20.6
12.4","5.8
3.2
2.4
2.6
2.2
2.2
2.1
5.1
3.7
6.2
3.6
2.7
4.4
2.0
5.8
3.8
4.9
3.7
2.7
2.3
2.7
2.4
2.2
2.3
2.3
2.2
2.7
2.0
7.5
2.6
7.2
5.3
2.1
1.6","2.4
2.6
1.9
3.2
2.4
2.0
1.4
3.6
2.8
3.4
3.4
2.5
4.6
1.9
4.3
2.8
4.7
2.9
2.4
2.3
2.8
2.3
2.3
2.3
2.8
2.1
2.4
2.0
5.5
2.5
7.4
4.4
1.9
1.6","15.5
16.9
18.4
9.9
9.2
12.6
17.1
13.2
11.0
21.0
16.4
14.4
16.7
11.7
16.2
12.2
14.6
19.6
15.9
16.7
24.8
12.0
35.2
7.0
10.6
13.0
11.1
11.5
20.7
15.5
14.0
13.2
8.9
23.2","8.6
12.6
11.3
12.2
11.4
11.0
9.9
14.6
13.8
13.1
19.9
13.9
16.0
11.0
15.8
12.5
19.9
18.6
15.4
12.8
21.5
16.9
19.6
9.7
11.2
12.7
11.4
12.3
20.1
13.2
20.9
18.1
9.3
12.9"
,La Union,,"Agoo Aringay Bacnotan Bagulin Balaoan Bangar Bauang Burgos Caba Luna Naguilian Pugo Rosario
San Fernando City San Gabriel
San Juan Santo Tomas Santol Sudipen Tubao","23.2
32.9
18.6
49.5
27.8
27.3
20.5
40.8
29.6
23.5
27.0
27.6
26.0
14.4
39.9
25.6
33.4
39.7
33.1
31.4","21.3
26.0
21.1
35.1
26.6
27.9
20.3
26.2
25.2
24.7
21.9
27.4
24.8
15.0
29.7
22.7
22.7
32.7
25.8
26.2","2.0
3.2
1.9
5.5
3.0
2.3
2.0
5.1
3.5
2.1
2.4
3.4
2.1
1.7
4.0
2.3
3.2
5.1
3.5
3.4","2.2
3.5
1.8
3.6
2.2
3.3
2.2
2.8
1.8
2.9
2.8
2.6
3.6
1.3
4.0
2.8
1.4
3.2
3.6
3.5","8.8
9.6
10.3
11.2
10.6
8.3
9.9
12.5
11.7
8.8
9.0
12.2
8.2
11.7
10.0
9.1
9.7
12.8
10.4
10.8","10.3
13.4
8.4
10.2
8.2
11.9
10.7
10.6
7.2
11.8
12.9
9.4
14.4
8.9
13.6
12.3
6.3
9.8
14.0
13.3"
,Pangasinan,,"Agno Aguilar
Alaminos City Alcala
Anda Asungan Balungo Bani Basista Bautista Bayambang Binalonan Binmaley Bolinao Bugallon Burgos Calasiao
Dagupan City Dasol
Infanta Labrador Lingayen Mabini Malasiqui Manaoag Mangaldan Mangatarem Mapandan Natividad Possorubio Rosales
San Carlos City","32.1
31.1
24.8
24.4
31.6
22.2
31.7
29.9
29.9
30.1
27.4
17.3
22.7
35.7
30.1
33.5
23.1
15.7
31.0
39.0
31.7
24.0
40.3
28.2
22.4
22.7
30.8
23.8
19.9
24.3
26.4
29.5","28.4
26.0
19.9
20.3
25.9
20.4
21.4
21.0
24.6
23.4
24.2
14.8
17.5
28.7
24.8
28.7
17.2
13.9
25.3
24.0
18.6
18.3
21.5
24.5
22.3
17.8
25.5
21.3
21.5
20.0
17.9
26.4","2.9
3.1
2.2
2.8
3.2
2.6
3.5
2.8
4.1
3.6
2.0
2.0
2.0
3.0
2.9
3.4
2.5
2.5
3.1
3.8
3.9
2.6
3.6
2.0
2.3
2.2
1.9
3.2
2.8
2.1
2.2
1.8","3.3
2.1
2.0
1.5
2.1
2.0
2.1
1.1
1.2
2.2
1.9
1.4
1.7
2.8
1.9
2.8
1.9
1.0
2.4
2.6
1.8
1.1
1.6
1.5
2.5
1.3
2.0
2.1
2.8
1.4
1.9
1.9","9.0
9.9
8.8
11.5
10.0
11.5
11.1
9.4
13.6
11.8
7.1
11.6
8.8
8.4
9.5
10.1
10.7
15.9
9.9
9.8
12.2
11.0
8.8
7.2
10.4
9.7
6.0
13.4
14.1
8.7
8.2
6.2","11.5
8.1
10.1
7.5
8.0
10.0
10.0
5.3
5.0
9.4
7.9
9.7
9.6
9.7
7.6
9.8
11.1
7.0
9.6
11.0
9.9
5.8
7.6
6.3
11.2
7.0
8.0
10.0
12.8
7.2
10.4
7.3"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
